,song_name,artist_id,artist_name,partition,language_label,gender_label,full_path
0,0_1.wav,0,A-Lin,AUXILIARY,Mandarin,female,AUXILIARY/0/0_1.wav
1,0_2.wav,0,A-Lin,AUXILIARY,Mandarin,female,AUXILIARY/0/0_2.wav
2,0_3.wav,0,A-Lin,AUXILIARY,Mandarin,female,AUXILIARY/0/0_3.wav
3,0_4.wav,0,A-Lin,AUXILIARY,Mandarin,female,AUXILIARY/0/0_4.wav
4,0_5.wav,0,A-Lin,AUXILIARY,Mandarin,female,AUXILIARY/0/0_5.wav
5,0_6.wav,0,A-Lin,AUXILIARY,Mandarin,female,AUXILIARY/0/0_6.wav
6,0_7.wav,0,A-Lin,AUXILIARY,Mandarin,female,AUXILIARY/0/0_7.wav
7,0_8.wav,0,A-Lin,AUXILIARY,Mandarin,female,AUXILIARY/0/0_8.wav
8,1_1.wav,2,Adira,AUXILIARY,Malay,female,AUXILIARY/2/1_1.wav
9,1_2.wav,2,Adira,AUXILIARY,Malay,female,AUXILIARY/2/1_2.wav
10,1_3.wav,2,Adira,AUXILIARY,Malay,female,AUXILIARY/2/1_3.wav
11,1_4.wav,2,Adira,AUXILIARY,Malay,female,AUXILIARY/2/1_4.wav
12,1_5.wav,2,Adira,AUXILIARY,Malay,female,AUXILIARY/2/1_5.wav
13,1_6.wav,2,Adira,AUXILIARY,Malay,female,AUXILIARY/2/1_6.wav
14,0_1.wav,3,Adrian Minune,TEST,Romanian,male,TEST/3/0_1.wav
15,0_2.wav,3,Adrian Minune,TEST,Romanian,male,TEST/3/0_2.wav
16,0_3.wav,3,Adrian Minune,TEST,Romanian,male,TEST/3/0_3.wav
17,0_4.wav,3,Adrian Minune,TEST,Romanian,male,TEST/3/0_4.wav
18,0_5.wav,3,Adrian Minune,TEST,Romanian,male,TEST/3/0_5.wav
19,0_6.wav,3,Adrian Minune,TEST,Romanian,male,TEST/3/0_6.wav
20,0_7.wav,3,Adrian Minune,TEST,Romanian,male,TEST/3/0_7.wav
21,0_8.wav,3,Adrian Minune,TEST,Romanian,male,TEST/3/0_8.wav
22,0_9.wav,3,Adrian Minune,TEST,Romanian,male,TEST/3/0_9.wav
23,1_1.wav,3,Adrian Minune,TEST,Romanian,male,TEST/3/1_1.wav
24,1_2.wav,3,Adrian Minune,TEST,Romanian,male,TEST/3/1_2.wav
25,1_3.wav,3,Adrian Minune,TEST,Romanian,male,TEST/3/1_3.wav
26,1_4.wav,3,Adrian Minune,TEST,Romanian,male,TEST/3/1_4.wav
27,1_5.wav,3,Adrian Minune,TEST,Romanian,male,TEST/3/1_5.wav
28,1_6.wav,3,Adrian Minune,TEST,Romanian,male,TEST/3/1_6.wav
29,1_7.wav,3,Adrian Minune,TEST,Romanian,male,TEST/3/1_7.wav
30,1_8.wav,3,Adrian Minune,TEST,Romanian,male,TEST/3/1_8.wav
31,1_9.wav,3,Adrian Minune,TEST,Romanian,male,TEST/3/1_9.wav
32,0_1.wav,4,Afgan,TRAIN,Indonesian,male,TRAIN/4/0_1.wav
33,0_2.wav,4,Afgan,TRAIN,Indonesian,male,TRAIN/4/0_2.wav
34,0_3.wav,4,Afgan,TRAIN,Indonesian,male,TRAIN/4/0_3.wav
35,0_4.wav,4,Afgan,TRAIN,Indonesian,male,TRAIN/4/0_4.wav
36,0_5.wav,4,Afgan,TRAIN,Indonesian,male,TRAIN/4/0_5.wav
37,0_6.wav,4,Afgan,TRAIN,Indonesian,male,TRAIN/4/0_6.wav
38,0_7.wav,4,Afgan,TRAIN,Indonesian,male,TRAIN/4/0_7.wav
39,10_1.wav,4,Afgan,TRAIN,Indonesian,male,TRAIN/4/10_1.wav
40,10_2.wav,4,Afgan,TRAIN,Indonesian,male,TRAIN/4/10_2.wav
41,10_3.wav,4,Afgan,TRAIN,Indonesian,male,TRAIN/4/10_3.wav
42,10_4.wav,4,Afgan,TRAIN,Indonesian,male,TRAIN/4/10_4.wav
43,10_5.wav,4,Afgan,TRAIN,Indonesian,male,TRAIN/4/10_5.wav
44,10_6.wav,4,Afgan,TRAIN,Indonesian,male,TRAIN/4/10_6.wav
45,10_7.wav,4,Afgan,TRAIN,Indonesian,male,TRAIN/4/10_7.wav
46,11_1.wav,4,Afgan,TRAIN,Indonesian,male,TRAIN/4/11_1.wav
47,11_2.wav,4,Afgan,TRAIN,Indonesian,male,TRAIN/4/11_2.wav
48,11_3.wav,4,Afgan,TRAIN,Indonesian,male,TRAIN/4/11_3.wav
49,11_4.wav,4,Afgan,TRAIN,Indonesian,male,TRAIN/4/11_4.wav
50,11_5.wav,4,Afgan,TRAIN,Indonesian,male,TRAIN/4/11_5.wav
51,11_6.wav,4,Afgan,TRAIN,Indonesian,male,TRAIN/4/11_6.wav
52,11_7.wav,4,Afgan,TRAIN,Indonesian,male,TRAIN/4/11_7.wav
53,12_1.wav,4,Afgan,TRAIN,Indonesian,male,TRAIN/4/12_1.wav
54,12_2.wav,4,Afgan,TRAIN,Indonesian,male,TRAIN/4/12_2.wav
55,12_3.wav,4,Afgan,TRAIN,Indonesian,male,TRAIN/4/12_3.wav
56,12_4.wav,4,Afgan,TRAIN,Indonesian,male,TRAIN/4/12_4.wav
57,12_5.wav,4,Afgan,TRAIN,Indonesian,male,TRAIN/4/12_5.wav
58,12_6.wav,4,Afgan,TRAIN,Indonesian,male,TRAIN/4/12_6.wav
59,12_7.wav,4,Afgan,TRAIN,Indonesian,male,TRAIN/4/12_7.wav
60,12_8.wav,4,Afgan,TRAIN,Indonesian,male,TRAIN/4/12_8.wav
61,13_1.wav,4,Afgan,TRAIN,Indonesian,male,TRAIN/4/13_1.wav
62,13_2.wav,4,Afgan,TRAIN,Indonesian,male,TRAIN/4/13_2.wav
63,13_3.wav,4,Afgan,TRAIN,Indonesian,male,TRAIN/4/13_3.wav
64,13_4.wav,4,Afgan,TRAIN,Indonesian,male,TRAIN/4/13_4.wav
65,13_5.wav,4,Afgan,TRAIN,Indonesian,male,TRAIN/4/13_5.wav
66,13_6.wav,4,Afgan,TRAIN,Indonesian,male,TRAIN/4/13_6.wav
67,14_1.wav,4,Afgan,TRAIN,Indonesian,male,TRAIN/4/14_1.wav
68,14_2.wav,4,Afgan,TRAIN,Indonesian,male,TRAIN/4/14_2.wav
69,14_3.wav,4,Afgan,TRAIN,Indonesian,male,TRAIN/4/14_3.wav
70,14_4.wav,4,Afgan,TRAIN,Indonesian,male,TRAIN/4/14_4.wav
71,14_5.wav,4,Afgan,TRAIN,Indonesian,male,TRAIN/4/14_5.wav
72,14_6.wav,4,Afgan,TRAIN,Indonesian,male,TRAIN/4/14_6.wav
73,14_7.wav,4,Afgan,TRAIN,Indonesian,male,TRAIN/4/14_7.wav
74,14_8.wav,4,Afgan,TRAIN,Indonesian,male,TRAIN/4/14_8.wav
75,15_1.wav,4,Afgan,TRAIN,Indonesian,male,TRAIN/4/15_1.wav
76,15_10.wav,4,Afgan,TRAIN,Indonesian,male,TRAIN/4/15_10.wav
77,15_2.wav,4,Afgan,TRAIN,Indonesian,male,TRAIN/4/15_2.wav
78,15_3.wav,4,Afgan,TRAIN,Indonesian,male,TRAIN/4/15_3.wav
79,15_4.wav,4,Afgan,TRAIN,Indonesian,male,TRAIN/4/15_4.wav
80,15_5.wav,4,Afgan,TRAIN,Indonesian,male,TRAIN/4/15_5.wav
81,15_6.wav,4,Afgan,TRAIN,Indonesian,male,TRAIN/4/15_6.wav
82,15_7.wav,4,Afgan,TRAIN,Indonesian,male,TRAIN/4/15_7.wav
